cluster_id,cluster_name,size,avg_edu_affinity,avg_premium_affinity,avg_discount_affinity,avg_email_preference,avg_push_preference,avg_inapp_preference,top_campaign_type,top_channel,top_value
0,budget_hunters,6,0.020623317678871666,0.020114439636203334,0.020964594146528334,0.10524089021350001,0.10590588364573833,0.11104926146132833,discount,email,convenience
1,eco_conscious_parents,12,0.020602061158575834,0.020886576519838333,0.028553708166330835,0.09497100714532751,0.09173045542766667,0.09930134985044835,educational,push,eco_conscious
2,premium_quality_seekers,13,0.020969420859822306,0.02085933751114,0.020494088779434615,0.08747835237555769,0.08425036594384154,0.0906470613181777,premium,email,quality
3,convenience_seekers,6,0.021905314254185,0.021273427990651666,0.02103404932267,0.083280475337355,0.09636894840758832,0.088502056895245,educational,inapp,convenience
4,multi_channel_engagers,3,0.020962295938396668,0.026708708458203334,0.02099585987386667,0.09430405840953666,0.10473242929992665,0.10549002781727,premium,inapp,family
